Robot0
11	9	16	20	11	16	10	6	5	10	3	9	14	17	15	12	15	9	6	8	5	5	5	6	3	2	2	1	9	9	5	2	

11	10	13	15	19	31	19	18	12	11	9	8	11	18	18	13	8	12	8	13	15	5	4	3	3	2	1	1	2	3	4	1	

19	25	17	14	20	22	23	27	19	17	14	12	17	13	9	16	14	15	10	13	10	7	9	5	7	5	5	6	8	5	7	3	

17	18	10	14	29	26	37	31	15	20	14	8	10	11	8	9	10	13	16	9	4	10	13	12	14	16	12	4	11	6	9	10	

8	16	20	13	18	12	21	21	15	28	20	13	7	8	7	12	16	17	17	7	2	5	7	15	13	12	15	9	7	4	8	14	

7	15	14	14	14	11	15	17	16	19	8	5	3	7	5	8	10	6	7	6	7	7	8	13	15	15	18	18	11	6	8	13	

7	12	8	9	9	11	8	10	14	6	1	8	10	12	8	6	3	4	2	2	7	7	9	14	15	18	23	17	8	13	16	12	

7	8	4	5	5	11	10	20	17	3	1	8	8	10	16	10	4	2	6	2	4	6	7	12	16	18	24	14	8	10	8	5	

6	4	1	3	2	7	14	20	17	11	6	10	8	4	16	9	3	5	14	7	7	8	5	4	13	22	27	18	21	16	12	7	

3	2	5	3	1	6	11	8	8	9	9	9	9	9	9	8	8	2	7	10	10	6	4	6	15	17	22	19	21	13	10	11	

4	3	7	3	2	6	6	10	6	6	5	10	6	1	0	4	6	3	10	15	5	4	3	10	14	12	19	22	19	14	16	15	

2	3	8	8	8	7	6	9	9	12	9	11	5	2	8	10	7	7	12	13	8	12	6	9	18	21	16	19	13	16	14	8	

1	2	3	3	6	9	7	10	12	8	5	11	6	2	7	9	13	16	13	17	19	19	13	18	23	23	21	20	10	7	7	6	

0	1	4	7	8	9	8	11	11	9	10	12	10	8	7	7	8	14	16	31	28	26	22	23	25	24	22	14	11	7	8	8	

0	0	4	7	10	10	7	4	5	7	4	4	5	5	10	13	12	15	15	20	25	26	23	25	26	20	14	8	5	3	6	7	

0	0	0	0	1	3	6	4	3	7	3	3	2	7	15	14	11	23	32	37	27	23	24	26	28	24	17	18	7	4	9	11	

0	0	2	3	2	1	4	4	2	3	1	4	4	9	10	11	13	20	26	36	33	20	30	27	32	25	17	16	10	7	8	9	

